country_na,iso_a3,mean
Hong Kong,,5263.2448466044925
Macau,,53626.75269471875
Taiwan,,521.4474316865515
Senkakus,,11.796538096207836
Japan,,101.97526556689849
China,,250.00687575507627
China,,16.922102181749615
China,,38.22240519127785
China,,307.2078263726673
Bhutan,,16.74001899596771
Aksai Chin,,0.2036393191399713
Pakistan,,248.35876311356623
Demchok Area,,1.7973188116985048
IN-CH Small Disputed Areas,,4.84342546254786
Nepal,,210.08146678925203
Kalapani Area,,0.4627345973598686
Dramana-Shakatoe Area,,2.048053453322244
Sri Lanka,,279.3937142238313
India,,363.23783789418707
Bangladesh,,991.4743645452709
Palau,,42.83409553016672
Indonesia,,139.26318680911558
Paracel Is,,117.81796251890252
Singapore,,5989.244899784394
Brunei,,67.51569552957322
Philippines,,306.66597622244575
Spratly Is,,
Timor-Leste,,76.94093179990864
Malaysia,,88.98477868081126
Thailand,,121.09872433475792
Burma,,57.841046989917416
Laos,,26.797760708716343
Cambodia,,92.29658542220962
Vietnam,,249.15987614892668
Iran,,15.629459485307152
