country_na,iso_a3,mean
Hong Kong,,1.558737958507032
Macau,,0.748385786784317
Taiwan,,1.9559914317505063
Senkakus,,3.955144645117875
Japan,,4.1601566704792585
China,,0.6678538034202673
China,,0.25637739913555774
China,,0.694134454644335
China,,1.7715971613272221
Bhutan,,1.6473009285223292
Aksai Chin,,0.1070219844473206
Pakistan,,0.4531761542038016
Demchok Area,,0.1342298509249796
IN-CH Small Disputed Areas,,0.06654646431453487
Nepal,,1.2357981019451754
Kalapani Area,,0.4146202095290026
Dramana-Shakatoe Area,,0.5984131946235988
Sri Lanka,,2.205695521524831
India,,1.03275967838822
Bangladesh,,1.5562445199171473
Palau,,2.5145007832007753
Indonesia,,2.56128728215198
Paracel Is,,0.5661572949311725
Singapore,,3.8032916578560747
Brunei,,3.1137221245642457
Philippines,,2.236466933149993
Spratly Is,,0.07766363050403266
Timor-Leste,,2.2391120834721248
Malaysia,,2.7881639910067184
Thailand,,1.544942898450681
Burma,,1.7118611569925901
Laos,,2.135212603162985
Cambodia,,1.4081374231328057
Vietnam,,2.046533984411492
Iran,,0.12837527117171396
