country_na,iso_a3,mean
Hong Kong,,16.837114422193203
Macau,,155.23178216574505
Taiwan,,4.850612578060903
Senkakus,,0.17416701201291043
Japan,,0.8439305768338361
China,,1.5407369190784967
China,,0.4251433401117422
China,,0.4499946479068298
China,,1.5428949807590535
Bhutan,,0.366426666793837
Aksai Chin,,0.3610666115529495
Pakistan,,0.6792110759778457
Demchok Area,,0.35713050134317187
IN-CH Small Disputed Areas,,0.39717909968679466
Nepal,,0.43407093529184526
Kalapani Area,,0.3836629517695386
Dramana-Shakatoe Area,,0.3596348943309263
Sri Lanka,,0.6356174706587205
India,,1.01019771185037
Bangladesh,,0.7433734560011523
Palau,,0.3349225436022373
Indonesia,,0.4932442789707003
Paracel Is,,1.674661489824454
Singapore,,44.902277773869926
Brunei,,1.2674706833757796
Philippines,,0.5098281018419031
Spratly Is,,0.24573275446891785
Timor-Leste,,0.30947384247117377
Malaysia,,1.1049356678415494
Thailand,,1.069515267372712
Burma,,0.3378933973182635
Laos,,0.30127174480951746
Cambodia,,0.2923290465780927
Vietnam,,1.3607723214565064
Iran,,0.3935606753388387
