country_na,iso_a3,mean
Hong Kong,,5057.590532700344
Macau,,51651.08847472613
Taiwan,,517.5962022497426
Senkakus,,12.016690992359816
Japan,,112.40644496548431
China,,249.7425978010381
China,,16.88132096842071
China,,38.13155615926484
China,,306.9591385541811
Bhutan,,16.926423113818917
Aksai Chin,,0.2048706942380418
Pakistan,,248.2808618999933
Demchok Area,,1.8078827931988724
IN-CH Small Disputed Areas,,4.922628494011844
Nepal,,208.5490381586286
Kalapani Area,,0.5011681797651978
Dramana-Shakatoe Area,,2.047389902607437
Sri Lanka,,279.8855429611882
India,,363.2222935361986
Bangladesh,,985.990388087125
Palau,,45.6514165345564
Indonesia,,139.48442866281633
Paracel Is,,113.60873310278494
Singapore,,6062.090092884921
Brunei,,68.67418157747686
Philippines,,306.2134325379036
Spratly Is,,
Timor-Leste,,81.08820001204833
Malaysia,,89.36743132006464
Thailand,,121.40901674172652
Burma,,58.05185522865201
Laos,,27.018048990886182
Cambodia,,92.61241337544246
Vietnam,,248.7527242159142
Iran,,15.529637192391414
